strain,date,state,county,country
22061-T1033325,8/3/2020,WA,King,USA
22077-M1044752,8/3/2020,WA,Pierce,USA
2208-W65936,3/25/2020,WA,King,USA
22080-M1043935,8/3/2020,WA,Pierce,USA
22090-T1044384,8/4/2020,WA,Pierce,USA
22094-M1043819,8/3/2020,WA,Spokane,USA
22096-M1043828,8/3/2020,WA,Spokane,USA
22103-M1043901,8/3/2020,WA,Pierce,USA
22105-L1046657,8/4/2020,WA,King,USA
22112-L1048813,8/4/2020,WA,King,USA
22117-H1055096,8/6/2020,WA,Okanogan,USA
22122-L1053412,8/6/2020,WA,King,USA
22124-H1056839,8/6/2020,WA,Chelan,USA
2213-W65799,3/25/2020,WA,Pierce,USA
22132-L1050867,8/5/2020,WA,King,USA
22137-H1055092,8/6/2020,WA,Okanogan,USA
2214-W65779,3/25/2020,WA,King,USA
22144-L1052427,8/6/2020,WA,King,USA
22148-H1049218,8/5/2020,WA,King,USA
22149-H1055107,8/6/2020,WA,Okanogan,USA
2215-W65760,3/25/2020,WA,King,USA
22151-H1051805,8/6/2020,WA,Chelan,USA
22152-W1054076,8/5/2020,WA,Pierce,USA
22155-H1054046,8/6/2020,WA,Chelan,USA
22157-L1050922,8/5/2020,WA,King,USA
22162-L1050418,8/5/2020,WA,King,USA
22172-L1052151,8/6/2020,WA,King,USA
22173-H1053713,8/6/2020,WA,Okanogan,USA
22175-L1049146,8/5/2020,WA,King,USA
22177-H1053824,8/6/2020,WA,Okanogan,USA
2218-W64849,3/25/2020,WA,Chelan,USA
22180-T1045426,8/4/2020,WA,Spokane,USA
22181-L1052723,8/6/2020,WA,King,USA
22182-W1054065,8/3/2020,WA,Yakima,USA
22184-H1054692,8/6/2020,WA,Chelan,USA
22186-H1056840,8/6/2020,WA,Chelan,USA
2219-W63831,3/25/2020,WA,King,USA
22190-H1054755,8/6/2020,WA,Okanogan,USA
2220-M76549,3/23/2020,WA,Pierce,USA
22201-M1035557,8/3/2020,WA,Chelan,USA
22204-M1036820,8/3/2020,WA,Chelan,USA
22205-X1020373,8/2/2020,WA,Spokane,USA
22207-L1044703,8/3/2020,WA,King,USA
22212-L1044460,8/3/2020,WA,King,USA
22216-L1044600,8/3/2020,WA,King,USA
22217-L1039322,8/1/2020,WA,King,USA
22228-X1021045,8/2/2020,WA,Pierce,USA
22230-L1040865,8/1/2020,WA,King,USA
22233-M1036588,8/3/2020,WA,Chelan,USA
22236-M1040798,8/3/2020,WA,Chelan,USA
22238-M1036656,8/3/2020,WA,Chelan,USA
22240-M1036543,8/3/2020,WA,Chelan,USA
22244-M1035615,8/3/2020,WA,King,USA
22247-L1040651,8/1/2020,WA,King,USA
22248-X1021062,8/2/2020,WA,Pierce,USA
2225-M76534,3/23/2020,WA,Pierce,USA
22253-M1040198,8/3/2020,WA,King,USA
22254-L1039386,8/1/2020,WA,King,USA
22256-M1036693,8/3/2020,WA,Chelan,USA
22258-M1035558,8/3/2020,WA,Chelan,USA
22270-X1021251,8/2/2020,WA,Pierce,USA
22271-M1035150,8/3/2020,WA,Pierce,USA
22273-L1040515,8/1/2020,WA,King,USA
22275-L1039377,8/1/2020,WA,King,USA
22276-F1056981,8/6/2020,OR,Deschutes,USA
22281-L1052353,8/6/2020,WA,King,USA
22286-L1053469,8/6/2020,WA,King,USA
22287-L1053632,8/6/2020,WA,King,USA
22293-L1053089,8/6/2020,WA,King,USA
22294-H1061363,8/6/2020,WA,Pierce,USA
22302-L1053999,8/6/2020,WA,King,USA
22306-L1052016,8/6/2020,WA,King,USA
22312-F1049014,8/3/2020,WA,Spokane,USA
22313-L1054572,8/7/2020,WA,King,USA
22316-L1053953,8/6/2020,WA,King,USA
22318-L1053601,8/6/2020,WA,King,USA
2232-W60751,3/25/2020,WA,Chelan,USA
22327-L1054428,8/7/2020,WA,King,USA
22328-L1054671,8/7/2020,WA,King,USA
22330-L1054587,8/7/2020,WA,King,USA
22331-L1053461,8/6/2020,WA,King,USA
22339-W1053806,8/5/2020,WA,Pierce,USA
2234-T83114,3/24/2020,WA,Pierce,USA
22343-F1060394,8/5/2020,WA,King,USA
22346-F1060253,8/5/2020,WA,King,USA
22348-F1060015,8/5/2020,WA,King,USA
22349-H1060344,8/6/2020,WA,King,USA
2235-T83281,3/24/2020,WA,Pierce,USA
22353-F1060421,8/5/2020,WA,King,USA
22358-F1061314,8/7/2020,WA,Pierce,USA
22360-H1062071,8/6/2020,WA,Pierce,USA
